lafz	aeraab	qism	maani_en
الا		conj	except, save
پدرسالاری		noun	patriarchy
جاروبرقی	جاروبَرْقِی	noun	vacuum cleaner
اوزون برون		noun	sevruga, starry sturgeon (Acipenser stellatus)
دهنه		noun	a precious stone of a thick greenish colour
شلتوک		noun	rice-hull, rice-husk
دوختن		verb	to sew
بیو		noun	bride
مصلحت	مَصلَحَت	noun	interest, benefit, advantage
اسپندان		noun	white mustard (Sinapis alba)
آهیختن		verb	to pull out
فرهیختن		verb	to educate, to teach
دوپیکر		noun	Gemini
چنبر		noun	circle, hoop
چارطاق		noun	a kind of vault resting on four pillars
جنگره		adj	aggressive, rude
بدرام		adj	wild
زنبوردار		noun	beekeeper, apiculturist
زنبورداری		noun	beekeeping, apiculture
استعمارگر		noun	colonialist
نوردرمانی		noun	phototherapy, light therapy
سوی		noun	side
پرتودرمانی		noun	radiotherapy, radiation therapy
پرتونگاری		noun	radiography
در این فاصله		adv	in the meantime, meanwhile
بلورنگاری		noun	crystallography
کاتتر		noun	catheter
آنژیوگرافی		noun	angiography
نشانگر		noun	identifier, marker
تکاندن		verb	to shake (something)
پرتو زدن		verb	to irradiate (expose to radiation)
پیچاپیچ		adj	convoluted, complicated, spiral, mazelike
پیچیده		adj	complicated, complex, convoluted, tricky, labyrinthine
لخته		noun	clot, thrombus
لخته شدن		verb	to clot
نوار مثانه		noun	uroflowmetry, urinary flow rate
مهندسی ژنتیک		noun	genetic engineering
مولکولی		adj	molecular
مهندسی مولکولی		noun	molecular engineering
فرازمینی	فَرازَمینی	adj	extraterrestrial
بستگان		noun	relatives, relations
سراغ گرفتن		verb	to ask after
سگالیدن		verb	to think, consider, discuss
زکاب		noun	ink
دیگدان		noun	stove
لفت دادن		verb	to delay
کپیدن		verb	to snatch, steal, seize
آنغوزه		noun	Ferula (genus)
آروغ زدن		verb	to burp
پرندوش		adv	last night
اجازه دادن		verb	to give permission; to let, to allow
کلان شدن		verb	to grow up, grow
نیمروز		noun	noon, midday
پیشمرگه		noun	peshmerga (Kurdish fighter)
ادبخانه		noun	water closet
مقتدر		adj	powerful
آلوی بخارا		noun	alubukhara
سرپوش		noun	cover
سرپیچ		noun	socket
سیجناک		adj	dangerous
سفربر		adj	who undertakes a journey, ready to travel
زربفت		noun	brocade
بافت		noun	texture (e.g. of a fabric)
پراندن		verb	to cause to fly
قلقلک		noun	tickle
قلقلک دادن		verb	to tickle
افشاندن	اَفشاندَن	verb	to scatter, disperse
جنایتکار		noun	a person who is guilty of a major crime, notably breaking the law
بزهکار		noun	a person who is guilty of petty crimes; delinquent
پیگرد قانونی داشتن		verb	to be prosecutable
دل کسی را زدن		verb	to become uninteresting, boring, unpleasant, or repulsive as a result of excessiveness or passage of time
گزینش		noun	choice, selection
چمیدن		verb	to strut, walk proudly
غمناک		noun	sorrowful, sad
زنگار		noun	verdigris, rust
خروشیدن		verb	to cry aloud, shout
خیار چنبر		noun	golden shower tree, Cassia fistula
خوارزمشاه		noun	Khwarazmshah
قلمتراش		noun	penknife
واج		noun	phoneme
بخشنده		adj	merciful
شکیبنده		adj	patient
دولچه		noun	leathern bucket
پیشتخته		noun	desk, counter in a shop
پاچه		noun	feet (of sheep, calves, or other animals, especially when boiled), trotters
خوشبختی		noun	happiness
برقرار		adj	established
گوجه سبز		noun	greengage
تگلتو		noun	saddle blanket
ماجراجو		noun	adventurer
داروینیسم		noun	Darwinism
ناتمام		adj	incomplete, unfinished, imperfect
چلنگر	چِلِنْگَر	noun	a locksmith
هرکس		pron	anyone, anybody
سرشناس		noun	famous
ناراحت		adj	upset
نهصد		num	nine hundred
هفتصد		num	seven hundred
هشتصد		num	eight hundred
وحی		noun	inspiration
تعطیلات		noun	holidays
کلنجار		noun	a crab
کلنجار رفتن		verb	to fumble with your hands, just like how a crab tries to hold things with its claws
قرشمال		noun	a gypsy, usually female
امیرتومان		noun	a major general, a commander of a division.
سرلشکر		noun	a major general, a commander of a division.
چنبره		noun	a ring or hoop
کلیدساز		noun	a keymaker or a locksmith
اژدهافش		adj	dragon-like, draconic
زادروز		noun	birthday
چکه		noun	drop
شیرفش		adj	lionlike, leonine
کلاگیس		noun	a wig
ارغند		adj	ferocious, raging, formidable
شرزه		adj	ferocious, raging
امیرلشکر		noun	a major general, a commander of a division.
پیش رفتن		verb	to progress, to advance, to go forward
خشنسار		noun	coot
ستهیدن	سِتِهیدن	verb	to withstand, defy, persevere, not give in
با این همه		adv	despite all this, nevertheless
مجروح شدن		verb	to get wounded or seriously injured
کبودچشم		adj	blue-eyed
خیو		noun	spit, saliva
شتر دوکوهان		noun	a Bactrian camel
گشتاور		noun	torque, moment of force
بومهن		noun	earthquake
مکانیک سیالات		noun	fluid mechanics
مکانیک کلاسیک		noun	classical mechanics
مکانیک جامدات		noun	solid mechanics
تیراژه		noun	rainbow
مصادره کردن		verb	to confiscate
مصادره		noun	confiscation
برخال		noun	fractal
زنباره		noun	womanizer, rake
حدس زدن		verb	to guess
سرکنسولگری		noun	consulate general
سرکنسول		noun	consul general
پابرهنه		adj	barefoot
برساخت		noun	construct
چیله		noun	stick, twig, kindling
کبودپشت		noun	the sky
پنهان		adj	hidden, unseen, secret
چنانکه		adv	as, like
همانطور که		adv	just as, exactly like
درآوردن	دَرْآوَرْدَن	verb	to take out, to extract
تختخواب	تَخْتِخواب	noun	bed (furniture for sleeping)
واری		prep	like, as (similar to)
پرجمعیت		adj	heavily populated (having a large population)
چاودار		noun	rye
طوی		noun	wedding
دنباله		noun	sequence
دمپایی		noun	slippers
سفارشی		adj	recommended
پیشتاز		noun	vanguard
طول کشیدن	طول کشیدَن	verb	to take a long time
متکبر		adj	arrogant
کد پستی		noun	postcode
فکسنی		adj	in poor condition, feeble, rickety
پابرجا		adj	enduring, lasting, existing, prevailing
منفور	مَنفور	adj	hated, detested
پررونق		adj	splendid, prosperous, flourishing
تدریس	تَدریس	noun	teaching, educating, giving lessons
بازنشستگی	بازنِشَستِگی	noun	retirement
نگهداری	نِگَهْداری	noun	taking care of
با این که		conj	although, even though
آشپزی کردن	آشپَزی کَردَن	verb	to cook, to make food
پدیدار شدن		verb	to appear, to emerge
فرومایه		adj	abject, base
سنبه		noun	punch, wimble, auger
سعی	سَعی	noun	try, attempt
حداکثر	حَدِّاَکثَر	adj	at most
چندان	چَندان	adv	so, so much; that (to such a degree)
بازنشسته		adj	retired (no longer working)
هرچه	هَرچه	adv	whatever
کتک خوردن	کُتَک خوَردَن	verb	to get beaten up
معالجه		noun	treatment, cure
سر و صدا	سَر و صِدا	noun	noise, tumult
فرزندخوانده	فَرزَندخوانده	noun	adopted child
کاهش دادن	کاهِش دادَن	verb	to lower, to reduce
بازدید		noun	survey, inspection
قدرتمند	قُدرَتمَند	adj	powerful, mighty
خنداندن	خَنداندَن	verb	to cause to laugh; to make someone laugh
چلوکباب	چِلُوکَباب	noun	chelow kabab, a popular Iranian kebab dish
تافتان		noun	taftan bread
قرار گرفتن		verb	to be put, to be placed
زیبیدن	زیبیدَن	verb	to adorn, embellish, beautify
لاعلاج		adj	irremediable, unpreventable
دستکند	دَستکَند	adj	dug by hand, hand-dug
پس گرفتن		verb	to take back, to retrieve
شهربندان		noun	lockdown (confinement of people as a security measure)
متفاوت	مُتَفاوِت	adj	different, unlike
درمنه		noun	wormwood (Artemisia gen. et spp.)
اندیشکده		noun	a think tank
دریچه		noun	small door, shutter; (small) window; a small hole for the admission of light; panel, pane; lid, cover for an o
گندلاش		noun	velvet maple, Persian maple (Acer velutinum)
لای		noun	dreg, sediment, dreck, mud
آهنربا		noun	magnet
مواجهه		noun	face-to-face meeting
جنسیت		adj	gender
تبلیغ		noun	propagation; promotion; advertisement; advocacy
حكمران		noun	governor, ruler
رندیدن	رَندیدَن	verb	to grate (in cooking: to shred by rubbing)
شگرد	شِگِرد	noun	method, technique, way
زوش		adj	violent, angry
گردونه		noun	horse-drawn cart
سوسنگرد		adj	Susangerd (a city in Iran)
تکلم شدن	تَکَلُّم شُدَن	verb	to be spoken
سرپرستی	سَرپَرَستی	noun	supervision, guardianship
دیوشناسی		noun	demonology
دور انداختن		verb	to throw away
نادیده گرفتن		verb	to ignore
تمایل داشتن		verb	to tend, to incline
ول کردن		verb	to let go; to release
بازنگری کردن		verb	to revise, to amend
بازگشتن		verb	to return
بازتاب کردن		verb	to reflect
پرهیز کردن		verb	to avoid, to abstain
پرهیزیدن		verb	to avoid, to abstain
دربرگرفتن		verb	to surround, to engulf
شناساندن		verb	to familiarize, to introduce
طلبیدن		verb	to demand, to ask for
شباهت داشتن		verb	to resemble
خفه شدن		intj	shut up! (stop talking)
تبخیر شدن		verb	to evaporate
خشکیدن		verb	to dry up, to wither
جشن گرفتن		verb	to celebrate
ترکاندن		verb	to cause to explode, to cause to blow up
پسندیدن		verb	to approve; to endorse; to like
پشنجیدن		verb	to sprinkle
تخشیدن		verb	to try, to make an effort
لافیدن		verb	to brag, to boast
رنجیدن		verb	to get upset; to get annoyed; to be offended
رنجاندن		verb	to annoy
چراندن		verb	to pasture
بستاوه شدن		verb	to deny
آگاهیدن		verb	to get aware, to get informed
آگاهاندن		verb	to inform, to let know
برکنار	بَرکِنار	adj	dismissed, fired (from an office)
ایستاندن		verb	to cause to stand
جنباندن		verb	to move
ارزیابی کردن		verb	to evaluate
عایق کردن		verb	to insulate
قضاوت کردن		verb	to judge
ایستادگی کردن		verb	to resist
محتاج		adj	needy, in want, poor
تکان دادن		verb	to shake
تشخیص دادن		verb	to recognize
قورت دادن		verb	to swallow
تراگسیل کردن		verb	to transmit
رهسپار کردن		verb	to send, to dispatch
مسافت	مَسافَت	noun	distance
سبک خراسانی	سَبکِ خُراسانی	noun	the "Khorasani style" of Persian poetry: the earliest style of New Persian verse, associated with poets from K
مزاحم		adj	annoying, pesky, obtrusive, in one's way
همشهری		noun	person from the same town
گروهبان		noun	sergeant
اعمی	اعمیٰ	adj	blind
مبادرت		noun	setting about (to do something); taking upon (a task)
تشرین	تِشرین	noun	only used in تِشرینِ اوّل (tešrin-e avval, “October”) or in ellipses thereof
همبازی		noun	playmate
اژگهان		adj	indolent, idle, negligent, lazy, slothful
اندازه		noun	size, dimension
برپا		adj	underway; afoot
بوالعجب		adj	marvelous, strange, peculiar
دشنام		noun	insult; verbal abuse
بدنهور		adj	evil-eyed, having an evil eye
بادبزن		noun	fan, hand fan
زیرسیگاری		noun	ashtray
آرایشگاه		noun	hairdresser's, hair salon, beauty salon
لاف زدن		verb	To brag, boast
خودباوری		noun	self-confidence
ناسزا		noun	insult
رختکن		noun	dressing room
پرسمان		noun	inquiry
سرکوبگر		adj	repressive
لبریز		adj	brimming, brimful
پشتیبانی		noun	support
پشتیبان		adj	supportive
پشتیبانی کردن		verb	to support, back up
سوزناک		adj	woeful
هولناک		adj	scary
فروزنده		adj	shining, luminous, lustrous
گسسته		adj	separated
تابناک		adj	radiant
پیوسته		adj	connected
صحابت		noun	companionship
پیامک		noun	SMS; short text message
اندونزیایی		adj	Indonesian
نعلبکی		noun	saucer (small dish)
مندرج		adj	contained, inserted, written (in a text)
متقابل		noun	reciprocal, reciprocating
هواپیمای جت		noun	jet plane
دوشیرمه		noun	devshirme
رزانه		noun	dye
آرایشگر		noun	barber, hairdresser, hairstylist
محاربات		noun	broken plural of محاربه (muhāraba /mohârabe)
توپخانه		noun	artillery
خرگاه		noun	tent, pavilion, tabernacle
سماروغ		noun	mushroom
واضع		noun	founder, enactor
گوز دادن		verb	to fart
پاچیله		noun	shoe, sandal
دربند		noun	bar of a door, bolt
جندره		noun	the bar of a door
آسمانگون		adj	sky blue
آسمانرنگ		adj	sky blue
اهل خبره		noun	"expert; connoisseur"
اهل قبور		noun	"the dead"
اهل معرفت		noun	"(the) learned or wise"
راوی		noun	narrator (of a novel, etc.)
استغفرالله		intj	astaghfirullah
خداداد		noun	gift from God
زردوز		noun	a gold embroiderer
کثافت		noun	filth
پس دادن		verb	to give back; to return
کشتی شکسته		adj	shipwrecked
قفقازشناس		noun	Caucasologist
قفقازشناسی		noun	Caucasology
دردادن	دَردادَن	verb	synonym of دادن (dâdan)
افزار		noun	wear
چومپ		noun	chomp
آوخ		intj	ah! alas!
رزمگاه		noun	battlefield
موافقت		noun	agreement; consent
میکروپنیس		noun	micropenis
ماکروپنیس		noun	macropenis
سکسوال		adj	sexual
خارپشت		noun	porcupine; hedgehog
سرابستان		noun	garden attached to a building
یاغی		noun	rebel, outlaw
سرنگون		adj	head downward, upside down, inverted
فسقلی		adj	small, tiny
تفرقه		noun	separation, division, dispersal (in the passive sense)
شستشوی مغزی		noun	brain-washing
برخوردن		verb	to encounter; to come across; to meet by chance
ناکامل		adj	imperfect, incomplete
غیرمنقول		adj	immovable
غیرحکومتی		adj	non-governmental
غیرقانونی		adj	illegal
غیرانسانی		adj	inhuman
غیراختیاری		adj	involuntary
گرفتار		adj	seized; captured; arrested
خفتان		noun	tunic worn under armour; caftan
گیس بافته	گیسِ بافته	noun	plait; hair braid
افسونگر		noun	charmer, enchanter; captivator
دریافتن		verb	to understand; to realize; to find out
دردسر	دَردِسَر	noun	headache; hassle; bother; nuisance
تسلیحات		noun	armaments
یل		noun	hero, great warrior
گرمسیر		noun	tropical region; tropics
زنهار		intj	beware
فسنجان		noun	a Persian dish consisting of pomegranate and chicken. Also found in Iraqi and Jewish cooking.
شاور گرفتن		verb	to take a shower or bath.
ایور		noun	brother in-law
تافتون		noun	colloquial-un form of تافتان
هزارگی		noun	Hazaragi (a Persian dialect spoken in and around the Hazarajat region of Afghanistan; The Persian characterist
کلپچه		noun	pair of handcuffs
گرودمان		noun	the highest realm of Heaven; the realm of infinite light
مومیاکاری		noun	mummification
پادوسپان		noun	padhuspan, a Sasanian office below spahbed
خوشوقتم		intj	pleased to meet you
توت زمینی		noun	strawberry
پکه دستی		noun	hand fan
پکه		noun	fan
یاری		noun	aid, support, assistance
ناصرگرا		noun	Nasserist
ناصرگرایی		noun	Nasserism
آسایشگاه		noun	sanatorium, sanitarium, nursing home, hospice
استراحتگاه		noun	resort (a relaxing environment for people on vacation)
یاعلی		intj	O Ali; a request for intercession from Ali ibn Abi Talib, the first divinely appointed imam in Shi'ism, the se
باجناق		noun	co-brother-in-law, the husband of one’s wife’s sister
برآشفته		adj	angry
سبوکش		noun	drinker of wine
ضدقهرمان		noun	antihero
ضدماهواره		adj	anti-satellite, antisatellite
ضدتانک		adj	anti-tank, antitank
ضدآب		adj	waterproof
ضدیخ		noun	anti-freeze, antifreeze
مردستیزی		noun	misandry
زیرگروه		noun	subgroup (a group within a larger group)
به هم برآمدن		verb	to be moved (by emotion)
بدروزگار		adj	wicked; evil
فرشگرد		noun	Frashokereti, the final renovation of the world, wherein evil is destroyed, and the world is purified
خدابنده		noun	part of two royal names
چپلک		noun	sandal, a kind of slipper
منفعت		noun	profit; gain
هرآینه		adv	indeed; verily
سرحال		adj	happy, amused, in a good mood
شنل		noun	cape
مواجه شدن		verb	to come across
درراه		adv	in the road
گویی		conj	as if, as though
گوشی تلفن		noun	landline telephone, home phone
غفلتا	غفلتاً	adv	carelessly
تردید داشتن		verb	to have doubts, to hesitate, to be in two minds.
بندرت		adv	rarely
مایع		noun	liquid
برگزار شدن		verb	to be held
جغرافیادان		noun	geographer
سرتاسر		prep	all over
خودپرداز		noun	ATM, cash machine
فرآورده		noun	product
گناهکار		noun	sinner
خبردار		adj	informed, aware
رمزارز		noun	cryptocurrency
سررشته		noun	skill, competence
شهربانی		noun	shahrbani, (city) police
دار السلطنت		noun	royal capital
گاماس گاماس		adv	slowly, unhurriedly
سگدید		noun	presentation of a recently deceased body to a dog, whose sight is considered purifying
ضدحمله	ضِدِّحَمْله	noun	counter-offensive
دندانساز		noun	denturist
چنگیزی		adj	of or relating to Genghis Khan
آموزشگاه		noun	school, college, educational institution
کالبدشناس		noun	anatomist
هپولی کردن		verb	to plunder
جسارت		noun	boldness; daring
خالصانه		adj	sincere, pure; (adverbially) sincerely
مو شکافتن		verb	to split hairs
مضرت		noun	injury, hurt
ازا		noun	exchange; used in به ازای (be ezâ-ye, “in exchange for”) and در ازای (dar ezâ-ye, “in exchange for”).
دبیرستانی		noun	high schooler
مناجات		noun	intimate individual prayer, often in the form of hymns and poetry
قالپاق		noun	hubcap
هوی		noun	passion; desire
معروف و مجهول		noun	a vowel classification system in which certain semi-vowel characters represent two vowel phonemes. The ma'ruf 
گدیپران		noun	kite
جیغ زدن		verb	to yell
برغست		noun	hoary cress, whitetop (Lepidium draba and potentially related species)
لولیدن		verb	to writhe, to wriggle, to fidget, to toss
وداع		noun	farewell
استفساریه		noun	A request to interpret a law brought to the legislative body involved
سپسین		adj	subsequent
تشناب	تَشْنَاب	noun	toilet
گلدسته		noun	bouquet
بیگلربیگی		noun	beylerbey or beglarbegi, a medieval and early modern title:
گډی		noun	Hazaragi retroflex form of گدی
بوټ		noun	Hazaragi retroflex spelling of بوت
گډیپران		noun	Hazaragi retroflex form of گدیپران
گڈیپران		noun	Hazaragi retroflex form of گدیپران
ثقت الاسلام		noun	Siqatul Islam
دمساز		noun	confidante; intimate
گنجیدن		verb	to be contained; to be held
همزبان		noun	speaker of the same language
سرگذشت		noun	adventure
گاز گرفتن		verb	to bite
قرابت		noun	kinship tie; being related
منقاد		adj	obedient
مشفق	مُشْفِق	adj	kind; tender; compassionate
عمی		noun	blindness
چسپ		noun	glue, adhesive
موتروار		noun	driver
چسپیدن		verb	to stick, to be stuck, to adhere
پیشینه		noun	past, background, past record
هفتگی		adv	weekly
لوزینه		noun	a confection of almonds
گمنه		noun	bulgur
عنبرنسارا		noun	donkey dung (used in traditional medicine)
درخواستن		verb	to request; to ask
روهینگیا		noun	Rohingya (people)
باجگاه		noun	place for collecting tolls
چراغدان		noun	niche for a lamp
بر زدن		verb	to shuffle
فرمانبر		noun	subject (e.g. of a ruler)
غایبانه		adv	in absence, invisibly
خفارت		noun	protection; safeguarding
باشگاه		noun	club, association
وفاداری		noun	loyalty; troth (to a promise or a lover)
جاهدار		noun	dignitary; holder of rank
هدفمند		adj	purposeful; targeted
بارانداز		noun	wharf, quay, waterfront
کلچه		noun	cookie, biscuit
نامبردار		adj	famed; renowned; celebrated
نزده		num	Dari standard spelling of نوزده (nineteen)
نزدهم		num	Dari standard spelling of نوزدهم (nineteen)
پاکباز		noun	fair dealer, fair player; someone who plays without cheats; (extension) honorable lover
پرورشگاه	پَرْوَرِشْگاه	noun	orphanage
معاذالله		adv	God forbid
قطعنامه		noun	resolution
خرده گرفتن		verb	to find fault; to criticize pedantically
حوصله سر رفتن		verb	to become bored
مخلفات		noun	side dish
خودخواه		adj	selfish; egotistic
فروماندن		verb	to be helpless; to be incapable of; to be unable to
خلاقانه		adj	creative, innovative
زنهارخوار		noun	oath-breaker
برگه		noun	sheet of paper
سراسیمه		adj	confused; stunned
فوق الذکر		adj	aforementioned
ارادتمند		adj	friendly, sincere
رقابت		noun	competition; rivalry
زد و خورد		noun	clash, skirmish
فروپاشی		noun	collapse (of a system)
برانداختن		verb	to overthrow
حزیران		noun	June
ایار		noun	May
تشرین اول	تِشرینِ اوّل	noun	October
تشرین ثانی	تِشرینِ ثانی	noun	November
کانون ثانی	کانونِ ثانی	noun	January
شهلاچشم		adj	having eyes of شهلا (šahlâ) color
دمتک		noun	accentor (Prunella)
دمسنجه		noun	a kind of passerine bird
سیچغنه		noun	sparrowhawk
محیط زیست	مُحیطِ زیسْت	noun	natural environment; natural world
دوردست		adj	remote, far-off
عینی		adj	identical, exact same
غرامت		noun	compensation; indemnity
عوض شدن		verb	to change
شایع		adj	widespread, common
حاصلخیز		adj	fertile (of land)
برخلاف		prep	contrary to
برگزار		adj	held
برگزار کردن		verb	to hold
زمزمه		noun	hum
وسیله نقلیه		noun	transportation device; vehicle
فاضلاب		noun	wastewater, sewage water
کارساز		adj	helpful, productive, with results
دیرباز		noun	long ago, ancient times
مستمع		noun	listener (e.g. to a radio program); audience member (e.g. at a lecture)
محترمانه		adj	respectful; (adverbially) respectfully
افشره		noun	juice, pressed out sap
نیمکره		noun	hemisphere
غافلگیرکننده		adj	surprising
مرتبط		adj	connected; associated
تعمیرگاه		noun	repair shop
بافتنی		adj	textile; related to weaving or something woven
خدمتکار		noun	domestic worker, servant, butler, maid
خلاقیت		noun	creativity
عافیت باشه		intj	bless you; used as a polite response to sneezing
حساسیت		noun	allergy
نام و نشان		noun	given name and title/lineage; (by extension) identity, full name (before the adoption of Western surnames)
خردسال		noun	minor, underage; (originally) youth of tender years
بزرگسال		noun	adult
کهنسال		adj	very old; venerable
چلیدن		verb	to go; to walk
معترض		noun	protester
تپیدن		verb	to beat; to palpitate; to throb
پاینده		adj	lasting, permanent, perpetual, firm
دوزیست		adj	amphibious
پرسه		noun	roaming; wandering about; more common in the derived form پرسهزنی (parse-zani).
فیلمنامه		noun	screenplay, scenario
آغازیدن		verb	to start, to begin
ناخودآگاه		adj	unconscious
خودجوش		adj	spontaneous
گاوباز		noun	bullfighter
گاوبازی		noun	bullfighting
دادخواه		noun	plaintiff
دادگستر		adj	just, spreading justice
دادگستری		noun	the administration of justice
شهرداری		noun	municipality
سنجش		noun	measurement, assessment
چرکس	چَركَس	noun	Circassian
چرکسی		adj	Circassian
حسابرس		noun	auditor
مصرف شدن		verb	to be consumed; to be spent
بدهکار		adj	in debt
بازپرداخت		noun	refund
محکوم له	مَحْکُومٌ لَه	noun	the winning party of a case
محکوم علیه		noun	the losing party of a case
پیچاندن		verb	to twist
جیم زدن		verb	to sneak away; to escape
راستش		adv	actually, in fact
کمابیش		adv	more or less
متمرکز		adj	concentrated
علیه الصلات والسلام		noun	blessings and peace be upon him
رنجور		adj	ill, sick
غلغلستان		noun	place where everybody is crying or shouting
دلریش		adj	sick at heart; sore at heart
زهدان		noun	uterus, womb
بددل		adj	weak-hearted; cowardly
یاوه		noun	idle talk, nonsense
چهارباغ		noun	chaharbagh (a traditional square-shaped layout of Persian gardens comprising four square gardens separated by 
دنیا و مافیها		noun	the world and everything in it; all of material existence
مافیها		noun	only used in دنیا و مافیها (donyâ va mâfihâ).
فرخار		noun	place with beautiful people; especially used in conjunction with بت (bot, “idol, beauty”)
شکرستان		noun	sugarcane plantation
بازتابی		noun	act of reflection; reflecting
ظرفشویی		noun	kitchen sink, basin
گراته		noun	trouble
پرماجرا		adj	eventful
بندرگاه		noun	port, harbour
جددین		noun	infidel, non-Zoroastrian
نکهت		noun	breath of air
ابیا		noun	woodcock
نگهدار	نِگَهْدار	noun	protector
گلچهر		adj	having a face as beautiful as a rose
ایاغ		noun	drinking-cup
ایستگاه پلیس	ایسْتْگاهِ پُلیس	noun	police station
ناگفته		adj	unsaid
ایول		intj	bravo, good job
قیمومت		noun	tutorship, guardianship, trusteeship
خفقان		noun	suffocation, choking
نرم افزار		noun	software
دستورالعمل		noun	written instructions
خوارشماری		noun	disparagement; belittling
مرفه		adj	prosperous, affluent
محاصره شدن		verb	to be surrounded, to be besieged, to be under siege
مسالمت		noun	peacefulness, peaceableness
اوارچه		noun	cashbook, a book of receipts and disbursements
پذیرا		adj	accepting, receiving, receptive
جنبه		noun	aspect, facet, side
عرش و فرش		noun	Heaven and Earth
اختصاص		noun	earmarking, appropriation, allocation
خویدوده		noun	xwedodah (close-kin marriage)
دهل		noun	drum, tambour, kettledrum
گرداندن		verb	to change, to transform
صورت پذیرفتن		verb	to take place
جلیقه نجات		noun	life vest
چنانچه		conj	if, in the case that
چارچوب		noun	frame, framework
یافت شدن		verb	to be found
فراگرفتن		verb	to take
متناسب		adj	proportional, proportionate
کردگار		noun	God, the Creator
سر و برگ		noun	equipment, apparatus, means (of doing something)
پراته		noun	paratha
دستخوش		adj	subject to (especially something negative); victim (of)
تجلیل		noun	praise, glorification, honoring
شکفتن		noun	to open, to bloom, to blossom, to flourish
توانگر		adj	rich
مقتضیات		noun	exigencies, requirements, circumstances
پشته		noun	mound
بسنده کردن		verb	to be satisfied
شیوع		noun	prevalence
نمایشگاه		noun	fair, exhibition, gallery (both the place and event)
پایندگی		noun	firmness, permanence, stability, durability
سرای سپنج		noun	the fleeting world
جهاندار		noun	"possessor of the world": a laudatory title of kings.
سرافراز		adj	proud, triumphant
محسوب شدن		verb	to be considered; to be counted as
لاینفک		adj	integral
منفجر		adj	exploding, detonating, blowing up
فرنه		noun	malediction, execration
فلاته		noun	A sweetmeat manufactured from molasses into which milk and nuts are cooked
نسبت به		prep	relating to; with regards to
خلاص شدن		verb	to be released, to be delivered, to be rescued
دلتنگی		noun	longing, missing (a person, a place)
زهکشی		noun	water drainage
نمایشگر		noun	computer monitor
تذهیب		noun	gilding; (of manuscripts) illumination
همچون		prep	such, as
همچو		prep	such, as
پالوانه		noun	swift, apodid
تصویرگر		noun	illustrator
منزلت		noun	degree, rank
بدرقه		noun	escort, company (sending someone off on the road)
جاودانه		adv	eternally, forever
در نظر گرفتن		verb	to take into account; to bear in mind
برزگری	بَرْزْگَری	noun	agriculture; farming
برزگر		noun	farmer
گرداننده		noun	circulator
عملکرد		noun	function, role
همکاری		noun	cooperation, collaboration
ارزیابی		noun	evaluation
سخنران		noun	orator
منتقل		adj	transferred (e.g. to a different place)
با خیال راحت		adv	safely, undisturbed, untroubled
خاطرنشان		adj	fixed in the mind or memory
خانگاه		noun	older form of خانقاه (xānaqāh)
به سرای باقی شتافتن		verb	to pass away
فیلمبردار		noun	cameraperson, cinematographer, videographer
خلنگ	خَلَنْگ	adj	bi-coloured, piebald
دمدمه		noun	clamor, noise, disturbance
تلبیس		noun	fraud, imposture
ظرفیت		noun	capacity
ابرقدرت		noun	superpower
گرانبها		adj	valuable, precious
دست و پا کردن		verb	to sort out, to arrange, to get done
دست و پا زدن		verb	to struggle, to make every effort
تخمین زدن		verb	to estimate, to assess, to guess
منفجر کردن		verb	to explode, to cause to explode
نافرمانی		noun	disobedience, insubordination
ضرب و شتم		noun	battery (physical abuse)
از سر گرفتن		verb	to resume, to start again
یادآور شدن		verb	to remind (of)
محموله		noun	shipment, cargo
به جا آوردن		verb	to perform, to carry out
سر و کار داشتن		verb	to deal
ناگزیر		adj	helpless
متحول کردن		verb	to transform
ناراضی		adj	unhappy, disgruntled, dissatisfied
حکمرانی		noun	dominion, rule, sway
بهبود بخشیدن		verb	to improve
جوانمرد		adj	brave, generous, manly
جوانمردی		noun	generosity
بابزن		noun	spit, skewer (for grilling meat)
سانحه		noun	accident, unexpected event
مغفرت		noun	forgiveness
مرگ و میر		noun	mortality (number of deaths as a rate)
سرپیچی		noun	disobedience, refractoriness
ضدونقیض		adj	contradictory
متحصن		adj	participating in a sit-in protest
دستگیر		adj	arrested, under arrest
سوق دادن		verb	to lead, to impel, to drive
فرو نشاندن		verb	to quell, to quench, to suppress
پردازش		noun	processing
متوقف شدن		verb	to be stopped; to stop
با این حال		adv	nevertheless, but, however, nonetheless
ظالمانه		adj	cruel, tyrannical, oppressive; (adverbially) cruelly, tyrannically, oppressively
گزنده		adj	biting (of an animal)
نشانه رفتن		verb	to aim at; to take aim at
فیلمساز		noun	filmmaker
منتقل شدن		verb	to be transferred; to be transported; to be moved
لاجرم		adv	necessarily, of necessity
پرینت گرفتن		verb	to print, to print out
ارائه دادن		verb	to present, to show
ناشناخت		adj	unknown, unidentified
روزه گرفتن		verb	to fast
شرمسار		adj	ashamed
مالکانه		adj	possessory
غالیچه		noun	a small carpet
فریادرس		noun	someone who comes to another's relief; redeemer, reliever, savior
خلوتگاه		noun	private place, place of retirement, retired place
فوجدار		noun	an officer or the police in Hindustan, and chief magistrate of a chaklah
پس آمدن		verb	to return, to come back
دگرگون کردن		verb	to change, to transform, to alter
بدرنگ		adj	Used other than figuratively or idiomatically: بد (bad, “bad”) + رنگ (rang, “color”).
فرق داشتن		verb	to differ, to be different
پیرانه سر		noun	old age
