lafz	aeraab	qism	maani_en
سرآشپز		noun	head cook
چلچله		noun	martin, swallow (bird)
باژبان		noun	a revenue collector
باژدار		noun	a revenue collector
زیجک		noun	food made from animal intestines, sausages
خاگینه		noun	a kind of scrambled egg
افراشتگی		noun	exaltation
شوی		noun	husband
کوفتن		verb	to break, bruise, knock, strike, smite, beat, thrash, shake, trample under foot, tread upon
نای		noun	reed
سزیدن		verb	to be worthy
باختن		verb	to lose (a game); to be defeated, to be bested
معرفت		noun	knowledge, learning
نعلبند		noun	farrier
چایخانه		noun	teahouse
دستگیر کردن		verb	to arrest (to seize someone with the authority of the law)
رجولیت		noun	virility, manhood
کلانتر		noun	sheriff (all meanings)
غو		noun	cry, clamor, thunder
باتلاق		noun	swamp, marsh
انباشتن		verb	to fill up
گردیدن		verb	to rotate, turn, revolve, spin (to move around an axis)
گندیدن		verb	to rot, decay, go bad, spoil
انجامیدن		verb	to end
افروختن		verb	to kindle
پوهنتون		noun	university
بوی		noun	smell, scent
پنبه		noun	cotton
خاژغان		noun	kettle
گذشتن	گُذَشتَن	verb	to pass, to pass away (especially of time)
اومانیسم		noun	humanism (ethical system)
تیلماچی		noun	interpreter
تربز		noun	watermelon
برخاستن		verb	to stand, to get up (to rise to one's feet)
همدستی در جرم		noun	complicity
همدستی		noun	collaboration
همدستی کردن		verb	to abet
تنجیدن		verb	to strain
هزاردستان		noun	nightingale
گاوزنه		noun	ox-goad
گرزمان		noun	the highest heaven; heaven
دژند		adj	acid, tart
انبارده		adj	filled, full, replete
انباردن		verb	to fill
شارستان		noun	city
هنگام		noun	moment, time, event
کارگیر		noun	a solid structure of stone
آبگینه		noun	glass (substance)
محاسبه		noun	computation, calculation
شرمنده		adj	ashamed
گوینده		noun	speaker
درمانگاه	دَرْمانْگاه	noun	clinic
بازگشت		noun	return (act of returning)
برداشتن	بَرْداشتَن	verb	to pick up
آنچه		pron	what; used for the heads of relative clauses when it is not a human.
دزدیدن		verb	to steal
توانستن		verb	to be able; can
دنبال		noun	rear; behind
نردبان		noun	ladder (climbing tool)
دونسن		verb	to know (something)
دونستن		verb	to know (something)
سرچشمه		noun	root, source
گشودن		verb	to open
پدرزن		noun	father-in-law (wife's father)
پدرشوهر		noun	father-in-law (husband's father)
پسرخاله		noun	cousin (maternal aunt's son)
پسردائی		noun	cousin (maternal uncle's son)
پسرعمو		noun	cousin (paternal uncle's son)
پسرعمه		noun	cousin (paternal aunt's son)
دخترخاله		noun	cousin (maternal aunt's daughter)
دختردائی		noun	cousin (maternal uncle's daughter)
دخترعمو		noun	cousin (paternal uncle's daughter)
دخترعمه		noun	cousin (paternal aunt's daughter)
مادرزن		noun	mother-in-law (wife's mother)
مادرشوهر		noun	mother-in-law (husband's mother)
ناپدری		noun	stepfather
نامادری		noun	stepmother
گذاشتن		verb	to let, to permit, to allow (takes the subjunctive)
نگریستن		verb	to look
سپنج		noun	guesthouse, inn
پوزخند		noun	grin, sneer
خورشیدی		adj	solar
باد خورشیدی		noun	solar wind
فیلترشکن		noun	filter-break (software that enables an Internet user to gain access to filtered, or blocked, webpages.)
آزردن		verb	to annoy, to torment
نهفتن		verb	to hide; to conceal
گریختن		verb	to flee
فهماندن		verb	to explain, to make understood, to make clear
فهموندن		verb	to explain, to make understand
فریفتن		verb	to deceive
خشکاندن		verb	to dry
خشکوندن		verb	to dry
کوچک شدن		verb	to shrink, to become small
یاد رفتن		verb	to forget
توضیح دادن		verb	to explain
ژولیدن		verb	to become disheveled, to become chaotic, to become messy
راست گفتن		verb	to tell the truth, to be truthful
ستنبه		adj	strong, robust, powerful, bold
کیلوگرم		noun	kilogram, kilogramme
کوارک شگفت		noun	strange quark
بلد بودن		verb	to know; to know how
برهنگی		noun	nudity, nakedness
سپردن	سِپَردن	verb	to traverse, to pass
به خاطر سپردن		verb	to commit to memory; to learn by heart
به فراموشی سپردن		verb	to forget
دروغ بافتن		verb	to lie, to spread falsehood
گزاف گفتن		verb	to exaggerate
گزاف	گَزاف	adj	extravagant, excessive, exorbitant
مجازات کردن		verb	to punish
مداخله کردن		verb	to interfere, to intrude, to meddle
بهبود		noun	improvement, recovery
چرکچی		noun	baker
جارچی		noun	crier
پذیرائی		noun	living room
موفق باشی		intj	good luck
موفق باشید		intj	good luck
سنجاقک		noun	dragonfly
زیپ		noun	zipper, zip
جناب آقای		pron	his Excellency (Used when addressing a male with high status in a formal way.)
تهرانی		adj	Tehrani, Tehranian
مادرانه		adj	motherly, maternal
پدرانه		adj	fatherly, paternal
پسرانه		adj	especial to or designed for boys
زندون		noun	colloquial-un form of زندان (zindān /zendân).
غلغله		noun	noise
زنونه		adj	colloquial-un form of زنانه (zanâne)
سندرم		noun	syndrome (attributive)
نشخوار		noun	chewing the cud, rumination
سلام رساندن		verb	Give one's regards
چندشوهری		noun	polyandry
همچنین		adv	also, as well
وغا		noun	war, battle, tumult
دانسته		adv	on purpose
آوا		noun	sound
کوانتم		noun	quantum
کلکین		noun	window
ار		conj	if
تغییرات		noun	broken plural of تغییر (taġyīr /taġyir)
زندگانی		noun	life, way of life, course of one's life
جزئیات		noun	detail, details
مازندرانی	مازَندَرانی	adj	Mazanderani
قانون بقاء انرژی		noun	law of conservation of energy
آریایی		adj	Aryan
زوجیت		noun	matrimony
هام دبیریه		noun	similiscript
پادشاهی		noun	kingdom
برچسب		noun	tag, label (on a product)
شکلک		noun	making faces, grimace
ناخوشایند		adj	unpleasant
برگردان		noun	translation (the act or result of translating)
شکارچی		noun	hunter
کاروانسرا		noun	caravanserai
زرنگ		adj	clever, cunning, bright, sharp, shrewd
باکرگی		noun	virginity
دلگیر		adj	sad, upset
دلگیری		noun	sadness, grief, sorrow
استاندار		noun	governor-general
نارگیله		noun	narghile, hookah
گیتاریست		noun	guitarist
استمراری		adj	continuous, progressive
انگیختن		verb	to provoke; to instigate
متفکر		noun	thinker, intellectual
ترساندن		verb	to frighten
جوشاندن		verb	to boil
جوشوندن		verb	to boil
چسبوندن		verb	to stick
چسباندن		verb	to stick
چسبیدن		verb	to stick, to be stuck, to adhere
خوراندن		verb	to feed
خوروندن		verb	to feed
نوازنده		noun	musician
انرژی تاریک		noun	dark energy
ریزاندن		verb	to spill
سرفیدن		verb	to cough
بردمیدن		verb	to breathe into
بیختن		verb	to sift; to sieve
دروغگو		noun	liar
بودیسم		noun	Buddhism
فراگیر		adj	pervasive
چاله		noun	pit, hole, hollow
فضازمان	فَضازَمان	noun	spacetime
پیرمرد		noun	an old man
پا به عرصه وجود گذاشتن		verb	to come into the world; to be born
مکافات		noun	requital:
گریزان		adj	evasive, elusive
زنانگی		noun	femininity, womanliness
جنگجویی		noun	combativeness; belligerence
خرس سیاه آسیایی		noun	Asiatic black bear
شغال طلایی		noun	golden jackal
ماهتاب		noun	moonlight
دارنده		noun	owner
میرنده	میرَنده	noun	mortal (something, particularly a person, that can or will die)
زیستی		adj	biological
آرام گرفتن		verb	to rest
رقصنده		noun	dancer
خشمگین	خَشمگین	adj	angry
جوی		noun	stream
هرزگی	هَرزگی	noun	debauchery, depravity
گفته شدن		verb	to be called
بارندگی		noun	rainfall
گنوستیک		noun	Gnostic
گنوستیسیزم		noun	Gnosticism
دمیورژ		noun	Demiurge
درد گرفتن		verb	to hurt
سیزده		num	thirteen
چهارده		num	fourteen
پانزده		num	fifteen
شانزده		num	sixteen
میتوکندریایی		adj	mitochondrial
ریزموج		noun	microwave (electromagnetic waves with wavelengths from one meter to one millimeter, or with frequencies betwee
سوسیالیستی		adj	socialist, socialistic
به خواب رفتن		verb	to go to sleep
چهارصد		num	four hundred
چهارصد و بیست		num	four hundred and twenty
مزدیسنا		noun	Mazdean; Zoroastrian
متشکرم		intj	thank you
فرمانرو		noun	kingdom
سپاسگزار		adj	thankful
امامزاده		noun	imamzadeh
شگرف		adj	excellent, wonderful, fantastic
پنهان شدن		verb	to hide; to go into hiding
پنهان کردن		verb	to hide, to conceal
یکا		noun	unit
یکای کیهانی		noun	astronomical unit
امروزه		adv	nowadays
گوریل غربی		noun	western gorilla (Gorilla gorilla)
گوریل شرقی		noun	eastern gorilla (Gorilla beringei)
چقدر		adv	how much
دیسال		adv	yesteryear
پوده		adj	rubbed, worn; fallen to pieces
سوسیالیسم دموکراتیک		noun	democratic socialism
الکترومغناطیس		noun	electromagnetism
گو		adj	brave; heroic
خی		noun	chi (greek letter)
مرغانه		noun	egg (body produced by birds)
گنجشک		noun	sparrow
پوزش		noun	apology
دلبستگی		noun	affection
تفریح		noun	recreation; amusement
سهمگین		adj	scary, horrific, awful, dreadful, terrible
بیمناک		adj	scary
ترسناک		adj	scary
پیشکش		noun	gift, present
راهبردی		adj	strategic
هراسیدن		verb	to fear
درخشان		adj	shiny
فرسوده		adj	torn, worn out, shabby, used
تگزاسی		noun	Texan
میو		intj	meow (used to indicate the cry of a cat)
چو		prep	like
یان		noun	delusion
بارگذاری		noun	upload
زهرشناسی		noun	toxicology
فرمانده کل قوا		noun	commander in chief
سرگرد		noun	major (military)
سرجوخه		noun	corporal (military)
رویایی		adj	dreamy
رادمنش		adj	generous, munificent
آب اکسیژنه		noun	hydrogen peroxide
هیدروژن پراکسید		noun	hydrogen peroxide
زخمه		noun	plectrum
همانند		prep	like, similar
سوزش		noun	pain, burning sensation
پالایشگاه		noun	refinery
بسپار		noun	polymer
پلیمر		noun	polymer
جیرجیرک		noun	cricket (insect)
راهبرد		noun	strategy
باران آمدن		verb	to rain
شاهدخت		noun	princess, king's daughter
لبخند		noun	smile
لبخند زدن		verb	to smile
پخشه		noun	fly
زردک		noun	carrot
آچمز		adj	pinned
یو		pron	this
نشسن		verb	sit (of a person, be in a position in which the upper body is upright and the legs are supported)
پهپاد		noun	drone (unmanned aircraft)
قاغذ		noun	Kerman, Khesht, Konartakhteh, and colloquial Dari form of کاغذ
خواهرانه		adj	sisterly
برادرانه		adj	brotherly, fraternal
جوغن		noun	mortar (vessel)
دگرگونی		noun	transformation
کلپوک		noun	lizard
بنیادگرا		noun	fundamentalist
بنیادگرایی		noun	fundamentalism
جیجه		noun	chicken (bird)
چیندن		verb	to pluck
پرپروک		noun	butterfly
خو		noun	temper, disposition
پراگماتیسم		noun	pragmatism
سخن گفتن		verb	to speak
فشردن		verb	to press, to squeeze
