lafz	aeraab	qism	maani_en	kyun
مازنی		noun	Mazanderani person	arbi
مغاره		noun	cave, cavern	platts
سنخ		noun	type, class	platts
پارتی بازی		noun	cronyism; influence or opportunities gained by making connections rather than by merit	rishta:بازی
وفنوک		noun	club (?), mace (?)	arbi
ادرم		noun	saddlecloth	platts
رخم	رَخَم	noun	gentleness, lovingkindness, affection	platts
شکلاتی		noun	The colour/color chocolate.	arbi
شکلات داغ		noun	hot chocolate	rishta:داغ
رسوب		noun	sediment	platts
رسوخ		noun	being firmly anchored, being entrenched	platts
ادب فارسی		noun	Persian literature	rishta:ادب
ویلان		adj	vagrant	platts
پروردن		verb	to foster, to nurture	platts
کرپا		noun	harvest, crop	platts
انیسون		noun	anise	platts
بادیان رومی		noun	anise	rishta:رومی
گرچ		noun	lime; plaster; mortar	platts
گیج		adj	dizzy	platts
تارمی		noun	hall; Panjdari	platts
کازود		noun	scissors	arbi
ساج		noun	teak tree and wood (Tectona gen. et spp.)	platts
شبرم		noun	spurge	arbi
شتا		noun	winter	platts
خیری		noun	wallflower	platts
کلیز		noun	bee	platts
تشویش		noun	disquiet, uneasiness	platts
کولخاس		noun	holly	arbi
مطب		noun	doctor's office, clinic	arbi
انک کردن		verb	to abase, abash	rishta:کردن
خاتوله		noun	evilness, treachery	arbi
خنور		noun	vessel, container, crock, jar	platts
هیوند		noun	abstinent	platts
ودیعه		noun	deposit, endowment	platts
کویستن		verb	to beat, pound	platts
کلته		adj	stunted, lame	arbi
بگنی		noun	beer	platts
پید		adj	scattered, dispersed	platts
سامه		noun	asylum	platts
قبراق		adj	vigorous	platts
یمان		noun	bane, curse	platts
آذوقه		noun	provision	arbi
ریستن		verb	to fall down, collapse	platts
دواج		noun	stuffed bed-quilt, sheet, coverlet; or any nappy underlay or covering	platts
سالوک		noun	poor, indigent	platts
انر		adj	horrible	platts
انیر		noun	non-Aryan, non-Iranian	platts
استینه		noun	egg (?) or perhaps a food made with eggs	arbi
آفند		noun	fight	platts
یغر		adj	bulky	platts
بروشک		noun	bog, marsh	platts
رخنه		noun	crack, crevice	arbi
بابلی		adj	Babylonian	platts
یازیدن		verb	to attain, to reach or come to	platts
همیان		noun	money belt	platts
تخلخل		noun	porosity	arbi
هوار		noun	shout, yell	platts
پرت		adj	thrown to the ground	platts
اگرا		noun	noodle	platts
اریب		adj	oblique	platts
جریب		noun	jerib (unit of surface area)	platts
راسن		noun	elecampane (Inula helenium)	platts
الپر		adj	shrewd; naughty	platts
الیف		noun	piece, slice, segment	platts
ارغه		adj	shrewd, cunning	arbi
ارود کردن		verb	to pluck (remove feathers)	rishta:کردن
شید کردن		verb	to tease; tousle; scatter	rishta:کردن
شیهه		noun	neigh	arbi
دول دادن		verb	to put off, temporize, delay	rishta:دول
خدنگ		noun	mongoose	platts
خیش		noun	plough; ploughshare	platts
جبه		noun	robe, tunica, coat, gown, jubbah	arbi
کالوج		noun	messenger pigeon, homing pigeon	platts
کوپل		noun	feverfew (Tanacetum), chrysanthemum, camomile vel sim.	platts
گیدی		noun	screw pine, Pandanus	platts
هوبره		noun	bustard	arbi
تاور		noun	happening, occurrence, event, circumstance, incident	platts
چاوش		noun	the head of a caravan who loudly sang poems in medieval Persia	platts
کپر		noun	shed, shack, hovel	platts
استحمار		noun	act like a donkey; act stupidly or naively.	arbi
مدام		adj	unending, ceaseless, perpetual; (adverbially) ceaselessly, forever	platts
هدر		noun	wasted effort; work without results	platts
مکار		adj	sly	platts
آبزی		adj	marine	platts
ماهی آزاد		noun	salmon	rishta:ماہی
پاس گل		noun	assist	rishta:پاس
ترانزیستور		noun	transistor	arbi
بایگانی		noun	archives	platts
همایش		noun	conference	platts
همزه		noun	hamza (Arabic sign representing the glottal stop)	arbi
والیبال ساحلی		noun	beach volleyball	rishta:ساحلی
والیبال		noun	volleyball	platts
سنگ کلیه		noun	kidney stone, renal calculus	rishta:سنگ
کاسنی		noun	chicory (any Cichorium plant and especially Cichorium intybus)	platts
دیود		noun	diode	platts
اسمز		noun	osmosis	arbi
هوش مصنوعی		noun	artificial intelligence	rishta:ہوش
پروسکایت		noun	perovskite	platts
مخلوق		noun	creature, creation (something created)	arbi
اپلای کردن		verb	to apply to study abroad	rishta:کردن
کشتی آزاد		noun	freestyle wrestling	rishta:کشتی
سقا		noun	water carrier	platts
توالت فرنگی		noun	Western-style toilet	rishta:فرنگی
توالت ایرانی		noun	squat toilet	rishta:ایرانی
اربد		noun	serpent	arbi
تربد		noun	turpeth	platts
حرز		noun	amulet, talisman	platts
بیگاری		noun	forced labor	platts
غبغب		noun	double chin	arbi
ابیز		noun	spark	platts
کفاش		noun	shoemaker; cobbler	platts
جلاد		noun	executioner, headsman	platts
پوکی		noun	the state of being hollow, hollowness	platts
بدنه		noun	main body; largest and most important part	arbi
بدست		noun	span (measure)	platts
کابین		noun	marriage-portion, dowry	platts
سورنجان		noun	meadow-saffron, hermodactyl (Colchicum spp.)	arbi
مسلما		adv	certainly; definitely	platts
تکثر		noun	numerosity	platts
مکر		noun	trick, ruse	platts
تیمار		noun	care; nurture; provision	platts
خود نوشتن		verb	to write about oneself	rishta:خود
ستایش		noun	praise	platts
زرنباد		noun	zerumbet (Zingiber zerumbet)	arbi
جدوار		noun	zedoary (Curcuma zedoaria)	platts
ژدوار		noun	zedoary (Curcuma zedoaria)	platts
سیلو		noun	silo (vertical building for storing grain)	platts
جلاب		noun	julep, jallab	platts
البا		noun	layer	platts
چپت		noun	a traditional leather shoe made in Khorasan	platts
ذوب		noun	melting	arbi
حاشا		particle	God forbid, heaven forbid, far be it...	platts
وروجک		adj	unruly	platts
تخس		adj	mischievous	platts
نیستی		noun	non-existence	platts
منجنیق		noun	catapult	arbi
سالار		noun	leader	platts
خویش		pron	oneself	platts
سال پیش		noun	last year	rishta:سال
سال گذشته		noun	last year	rishta:سال
استوانه		noun	cylinder	arbi
مرگ بر		intj	down with, death to	rishta:مرگ
مشروب		noun	alcoholic beverage	arbi
پاداش		noun	reward	platts
درنگ		noun	delay	platts
متغیر		adj	variable (able to vary)	arbi
دما		noun	temperature	platts
گرمایی		adj	thermal	platts
مازو		noun	gall nut, oak apple, oak gall, gall apple, Aleppo gall	platts
شوکران	شَوْكَرَان	noun	hemlock (Conium gen. et spp., particularly Conium maculatum)	arbi
اوستاد		noun	earlier form of استاد (ustād /ostâd)	platts
عرضحال		noun	petition	arbi
بی گدار به آب زدن		verb	to be rash, to not look before you leap	rishta:بی
زقوم		noun	Zaqqum (tree growing in Hell)	arbi
متخلف		noun	offender, violator, delinquent	arbi
دق		noun	extreme grief	platts
مسرور		adj	glad, cheerful, happy	arbi
همیاری		noun	aid, bailout	platts
به هم خوردن		verb	to be cancelled, to be called off	rishta:بہ
تصادف کردن		verb	to have an accident	rishta:کردن
سر خوردن		verb	to get into an accident	rishta:سر
غش کردن		verb	to faint, swoon	rishta:غش
گلگیر		noun	fender, mudguard	platts
لیز		adj	slippery	platts
پیش آمدن		verb	to come forward	rishta:پیش
وارد شدن		verb	to enter; to come in, to go in	rishta:وارد
پا شدن		verb	to get up	platts
نزدیک شدن		verb	to approach	rishta:نزدیک
گول زدن		verb	to deceive, to dupe, to fool, to trick	rishta:گول
اذیت کردن		verb	to annoy; to bother	rishta:اذیت
پدید شدن		verb	to appear, come into view	rishta:پدید
تعمیر کردن		verb	to repair, to fix	rishta:کردن
خوانا		adj	legible, readable	platts
دارا		adj	possessing; having; possessed of; with the quality of	platts
بینا		adj	sighted, capable of seeing	platts
در طول		prep	during, across, throughout (time)	rishta:در
غاسول		noun	soapwort (Saponaria) gen. et spp.)	arbi
شعبه		noun	branch, section, division	platts
قلاووز		noun	protector of an army	platts
بوش		noun	being, dasein, existence	platts
زنبورک		noun	little wasp	arbi
مازریون		noun	mezereon, spurge-olive (Daphne mezereum)	arbi
مردار سنگ		noun	litharge, lead monoxide	rishta:مردار
دفاع کردن	دِفاع کَردَن	verb	to defend	rishta:دفاع
زراوند		noun	birthwort (Aristolochia gen. et spp.)	arbi
دارفلفل		noun	long pepper	arbi
ابراز		noun	declaration, expression	arbi
مضحک		adj	provoking laughter, funny	arbi
کله		noun	head	platts
زورا	زوراً	adv	forcefully, forcibly, by force	platts
ناچار		adj	without other choice, constrained	platts
نبش		noun	street corner	platts
ایلخان		noun	ilkhan	platts
طالع	طالِع	noun	horoscope; omen; star of fortune (in astrology)	platts
بغض		noun	lump in one's throat	arbi
شهله		noun	fatty meat	arbi
مسدود		adj	closed, blocked, obstructed	platts
اصفهانی		adj	Isfahani	platts
دهلیز		noun	vestibule, portico	arbi
دیبا		noun	brocade	platts
چاره		noun	remedy, help	platts
رعب		noun	terror, horror	platts
جودت		noun	excellence	platts
مکوک		noun	weaver's shuttle	platts
فراصوت		noun	ultrasound	platts
شجاعت		noun	bravery, courage	platts
قوری		noun	teapot	platts
ایدون		adv	thus, so	platts
دنگل		adj	disproportionate, of inconcinnous shape	platts
نایژه		noun	bronchus	arbi
استراق		noun	stealing	platts
شالی		noun	rice-hull, rice-husk	platts
توک		noun	eye	platts
نیفه		noun	the top middle area of a pair of trousers or drawers where a cord goes through to support the two legs, waistb	arbi
کما		noun	mace, the envelope of nutmeg	platts
مغلوب		adj	defeated	arbi
انزروت		noun	sarcocolla (resin of A. sarcocolla and a few similar shrubs)	platts
از دست دادن		verb	to lose, especially something of emotional value, e.g. a loved one	rishta:از
حزین		adj	sorrowful; doleful	arbi
دغد		noun	bride	platts
عطار		noun	traditional herbalist or apothecary	platts
شومین		noun	spinach	platts
زافه		noun	a pungent desert plant	arbi
جوره		noun	friend	arbi
کبر		noun	caper	platts
گاس		noun	maybe, perhaps	platts
پیشوا		noun	one who is a model, someone whom others follow or imitate, guide, exemplar, initiator, instructor	platts
چنگی		noun	harper, lutanist	platts
حلتیت		noun	hing, devil's dung (Ferula assa-foetida)	arbi
سورسات		noun	marching rations, requisitions, contributions raised by the army and various officials for war, the reigner wh	platts
تیله		noun	marble	platts
نگون		adj	turned, inverted, hanging down	platts
پسان		adv	later	platts
کشیش		noun	priest (including Christian priests)	platts
دهمشت		noun	laurel	arbi
مستعمره		noun	colony (territory ruled or settled by foreigners)	arbi
استعمار کردن		verb	to colonize / colonise	rishta:کردن
رادیویی		adj	of or pertaining to radios; radio	platts
ترجمه ماشینی		noun	machine translation	rishta:ترجمہ
ماشینی		adj	of or pertaining to cars, automobiles	platts
جهش		noun	leap, bounce	arbi
پیری		noun	old age	platts
یاخته بنیادی		noun	stem cell	rishta:بنیادی
تکان		noun	jerk, a sudden, quick movement	platts
پرتو آفتاب		noun	sunbeam, sunray	rishta:افتاب
قرقره		noun	spool, pulley	arbi
طعمه		noun	prey	arbi
نوار	نَوار	noun	strip, band (a long, thin piece of land or of any material)	platts
نوار قلب		noun	electrocardiogram	rishta:قلب
سحابی		noun	nebula	platts
پرتوان		adj	pluripotent	platts
پرتوانی		noun	pluripotency	platts
سراغ		noun	sign, scent, footprint	platts
نهادی	نَهادی	adj	natural	arbi
دایزه		noun	maternal aunt (mother’s sister)	arbi
آغل		noun	pinfold, caverns for cattle	platts
جولا		noun	spider	platts
تماما	تماماً	adv	completely	arbi
باشه		intj	Used to indicate acknowledgement or acceptance. OK	arbi
دنیوی		adj	mundane	platts
تعرفه		noun	tariff, impost	arbi
لوغیدن		verb	to milk	platts
اخراج کردن		verb	to fire	rishta:اخراج
اخراج شدن		verb	to be fired	rishta:اخراج
افت کردن		verb	to decrease, descent, to have a drop, a decrease in quality	rishta:افت
آویزان کردن		verb	to hang in the air, suspend	rishta:کردن
قرقاول		noun	pheasant (bird)	arbi
جزیه		noun	jizya (a per capita tax levied on a section of an Islamic state's non-Muslim citizens, who meet certain criter	arbi
تیهو		noun	grey partridge (a game bird in the pheasant family, Perdix perdix)	platts
مجار		noun	Hungarian	platts
گواشتن		verb	to digest	platts
اوکراینی		adj	Ukrainian	platts
داغون		adj	wrecked, destroyed, broken	platts
کماشیر		noun	an opopanax-like gum from a certain umbelliferous plant	arbi
جوز هندی		noun	nutmeg	rishta:جوز
پوست جوز هندی		noun	mace, the envelope of nutmeg	rishta:پوست
قاچاق		noun	contraband, illicit substances	platts
راه بردن		verb	to walk	rishta:راہ
عروسک پشت پرده		noun	Any plant of the genus Physalis.	rishta:پشت
کاکنج		noun	Alkekengi officinarum (syn. Physalis alkekengi)	arbi
مطبوع		adj	pleasant, agreeable	arbi
آلاوه		noun	tipcat game	platts
پنتی		adj	slovenly	platts
کدخدا		noun	village headman, mayor	platts
خیرات		noun	alms, charity	platts
هول		noun	shock, terror	platts
پارگین		noun	sink, sewer	platts
ورم		noun	swelling	platts
ششت		adj	vile, detestable, deformed, shameful, bad	platts
پاشیدن		verb	to sprinkle	platts
وند		noun	affix	platts
کندوری		noun	a leathern cover for a table	platts
قندیل		noun	lamp	platts
کده		noun	house	arbi
سیج		noun	danger	platts
تأکید		noun	emphasis (special weight or forcefulness given to something considered important.)	platts
سیلابی		adj	of or pertaining to floods or flooding	platts
دشت سیلابی		noun	floodplain	rishta:دشت
موریانه		noun	termite	arbi
میگو		noun	shrimp, prawn	platts
دلیر		adj	brave, courageous	platts
قشلاق		noun	wintering place, qishlaq	arbi
لقمه		noun	morsel or small sandwich	arbi
سینگل		adj	single (Not married or (in modern times) not involved in a romantic relationship without being married or not 	platts
واداشتن		verb	to compel, to force	platts
وادار		adj	compelled; led to (do something)	platts
رطوبت		noun	humidity, moisture	arbi
بادیه		noun	desert	platts
جزدان		noun	portfolio	arbi
بیداد		noun	oppression, injustice, tyranny	platts
میشین		adj	belonging to sheep	platts
مجاور		adj	adjacent; neighboring	platts
خزر		noun	Khazar	arbi
کوتوال		noun	castellan	platts
قلقل		noun	gurgle	arbi
اشترخار		noun	camelthorn	platts
سداب		noun	harmal (Peganum harmala)	platts
سیلان	سَیَلان	noun	flow; flux	platts
مصراع		noun	hemistich; half of a بیت (beyt, “line of verse”)	platts
متخصص		noun	specialist; expert	arbi
شار		noun	flux	platts
دارایی		noun	property, assets	platts
پینکی		noun	slumber	platts
کمخا		noun	damask silk	platts
مجسم		adj	embodied, corporeal, incarnated, given bodily form	arbi
لاری		noun	a Persian silver coin	platts
قنات		noun	qanat (underground irrigation system)	platts
قناد		noun	confectioner	platts
دباغ خانه		noun	tannery	rishta:خانہ
اوباریدن		verb	to swallow without chewing, to devour.	platts
زفر		noun	jaw	arbi
لک		noun	stain or spot	platts
خلاصی		noun	liberation, deliverance	platts
خلاشی		noun	sailor	platts
حاذق		adj	skillful, proficient, adept, shrewd	arbi
خلاشه		noun	rubbish of sticks or thorns	arbi
خلاسی		noun	mulatto	platts
خلاس		noun	thief	platts
خلیدن		verb	to hurt by introducing a sharp point, to sting	platts
عبث		noun	absurdity, nonsense	platts
غافث		noun	agrimony (Agrimonia gen. et spp.), especially the common agrimony (Agrimonia eupatoria)	arbi
گازر		noun	walker, fuller	platts
اخم		noun	frown	platts
اخمو		adj	frowny	platts
شیردال		noun	griffin	platts
موستان		noun	vineyard	platts
مشتاق		adj	yearning (for), longing (for), desirous	platts
شاهوار		adj	royal, kingly	platts
فرسودن		verb	to erode, wear out, deplete	platts
حکومت کردن		verb	to rule, dominate	rishta:حکومت
سلطانی		adj	royal	platts
یونجه		noun	alfalfa	arbi
شبدر		noun	clover	platts
ماشک		noun	vetch (Vicia gen. et spp.)	platts
تالان		noun	plunder, sack	platts
راهرو		noun	hallway, corridor	platts
برخی		pron	some	platts
دنیاگیری		noun	pandemic	platts
جودر		noun	rye	platts
ماند		noun	inertia	platts
کیفر		noun	punishment	platts
سپری		noun	complete, finished	platts
معراج		noun	ascension to heaven	platts
غلامی		noun	slavery, bondage, servitude	platts
لغز		noun	riddle, enigma	platts
شنگار		noun	bugloss (Anchusa, Alkanna spp.)	platts
دولبند		noun	turban, sash of a turban	platts
تخش		noun	arrow	platts
معادل		adj	equivalent	platts
خیم		noun	essence, nature	platts
استویهاد		noun	the demon of death in the Avesta	arbi
سقر		noun	Hell	platts
مهمیز		noun	spur	arbi
معمم		adj	turbanned: wearing a turban	arbi
هنگ		noun	a regiment	platts
آموت		noun	the nest of large birds of pray, e.g. eagles or vultures, which is usually built at high elevations.	platts
موحش		adj	dreadful	platts
بهر		noun	share, portion	platts
مسطح		adj	flat; even; level	arbi
مدافع		noun	defender	arbi
شؤم		adj	ill-omened, inauspicious	platts
بیجاده		noun	garnet or ruby	arbi
نارسنگ		noun	garnet	platts
پالهنگ		noun	rein	platts
کنداوری		noun	valour, courage	platts
سکندری		noun	stumble	platts
نحیف		adj	puny	arbi
کف کردن	کَف کردن	verb	to foam or froth	rishta:کردن
کرگ		noun	a rhinoceros	platts
آلایش		noun	adulteration	platts
التهاب		noun	inflammation	arbi
تصویب		noun	approval; acceptance; ratification	platts
نشاندن		verb	to set, to place	platts
اشکوب	اُشْکوب	noun	level or storey of a structure	platts
چنگر		noun	coot	platts
پرلا		noun	coot	platts
سؤال کردن		verb	to ask, to question	rishta:سوال
ستوه		adj	defeated, beaten	platts
یاقوت کبود		noun	sapphire (blue corundum)	rishta:یاقوت
باز آمدن		verb	to come back	rishta:باز
قت		noun	trefoil, clover	platts
بسد		noun	coral	platts
به ستوه آمدن		verb	to become overwhelmed, fed up, plagued, or sick of lingering irritation	rishta:بہ
به ستوه آوردن		verb	to swamp, plague, or fatigue	rishta:بہ
افگار		adj	wounded or hurt	platts
چیلان		noun	ironware	platts
خیودان		noun	spittoon	platts
کوهان		noun	the hump of a camel, zebu, etc.	platts
تنجار		noun	compressor	arbi
کرپی		noun	dam, jetty, mole	platts
سیال		noun	fluid	platts
تعریف کردن	تَعْریف کَرْدَن	verb	to define	rishta:تعریف
جمعا	جمعاً	adv	in full, in total	platts
جامد		adj	solid, in the solid state	platts
مکانیکی		noun	an automobile repair shop	arbi
جبین		noun	forehead	platts
برخ		noun	fraction, portion	platts
نشان دادن		verb	to show, to portray, to display	platts
مستند		noun	basis (for a claim)	arbi
حدس		noun	guess, assumption, estimate	platts
پر کردن		verb	to fill	rishta:پر
نبوغ		noun	genius (extraordinary mental capacity)	platts
قورت		noun	swallowing, gulp	platts
حاجی		noun	a hajji, one who has participated in a hajj.	platts
ماجرا		noun	event, affair (such as a crime affair)	platts
کدبانو		noun	the lady of the house, mistress	platts
مرشد		noun	spiritual guide, religious master; (Sufism) Sufi shaykh	platts
جزوه		noun	pamphlet	arbi
باجه		noun	ticket booth	arbi
مامانی		adj	cute, adorable	platts
انجیدن		verb	to chop	platts
علوم سیاسی		noun	political science	rishta:علوم
مساوی		adj	equal	platts
عابر		noun	passerby	platts
انسجام		noun	coherence	arbi
متوقف کردن		verb	to halt, to stop	rishta:کردن
شخار		noun	potash; alkali	platts
توتیا		noun	tutty	platts
ایلغار		noun	invasion	platts
سرند		noun	a screen, a riddle, a sieve	platts
به دست آوردن		verb	to obtain	rishta:بہ
قدومه		noun	madwort (Alyssum gen. et spp.; even Acanthophyllum bracteatum alias Alyssum bracteatum, and Lobularia maritima	arbi
تودری		noun	madwort (Alyssum gen. et spp.)	platts
کاکوتی		noun	Ziziphora of various species	platts
مرمی		noun	bullet	platts
غزنوی		adj	of or from Ghazni	platts
خناق		noun	suffocation; asphyxiation	platts
محدود		adj	limited	platts
تا وقتی که		adv	until	rishta:تا
متضاد		noun	antonym	arbi
عذر		noun	excuse, apology	platts
تبختر		noun	swagger, prideful gait	arbi
سروب		noun	word	platts
غیور		adj	gallant, mettlesome, militant	platts
نذل		adj	despicable, lowlife	arbi
پست کردن		verb	to post; to send by post	rishta:پست
قبل از		prep	before, prior to	arbi
پیش از		prep	before	rishta:پیش
دوشک		noun	mattress, bed	platts
معدود		adj	limited in number, a few	platts
گردن فراز		adj	arrogant, haughty	rishta:گردن
باستان		adj	ancient	platts
جندر		noun	clothes	arbi
ویرانه		noun	ruins, ruined place	arbi
مفرط	مُفْرِط	adj	excessive	arbi
مصنوعی		adj	artificial, artificially manufactured	platts
مالیات		noun	taxes, taxation	platts
جریان		noun	course, flow, current (of liquid, electricity, etc.)	platts
غنی	غَنی	adj	wealthy, rich	platts
پرورش دادن	پَروَرِش دادَن	verb	to raise, to cultivate	rishta:پرورش
به هم رسیدن	بِه هَم رِسیدَن	verb	to meet, to get together	rishta:بہ
محیط	مُحیط	noun	surroundings, environment, atmosphere	platts
تسخیر		noun	conquest, subjugation	platts
دلکو		noun	distributor; a device that distributes electric current, especially to the spark plugs in an internal combusti	platts
پرسون		adj	precise	platts
بعید	بَعید	adj	unlikely, improbable	platts
جیغه		noun	an ornament or jewel worn in the turban	platts
سفینه		noun	spacecraft	arbi
پرشور		adj	passionate, ardent	platts
باعث شدن		verb	to cause	rishta:باعث
کرامت	کَرامَت	noun	dignity	platts
برهمن	بَرَهمَن	noun	brahmin (member of Hindu priestly caste)	platts
یار غار	یارِ غار	noun	intimate friend, loyal friend	platts
مویز		noun	raisin, currant	platts
ماله		noun	anything with which ground is smoothed; trowel; harrow	platts
تسخیر کردن	تَسخیر کَردَن	verb	to conquer, to capture, to subjugate	rishta:کردن
متحد کردن	مُتَّحِد کَردَن	verb	to unite; to make united	rishta:کردن
توسط		noun	intermediation, intercession	platts
گپ زدن	گَپ زَدَن	verb	to chat	rishta:گپ
شبیه		adj	similar, resembling	platts
خودنویس		noun	fountain pen	platts
معاون	مُعاوِن	noun	deputy, assistant, vice-	platts
توضیح		noun	explanation	arbi
ترک کردن	تَرک کَردَن	verb	to leave, to exit	rishta:ترک
دوره		noun	period, term	platts
مجبور کردن	مَجبور کَردَن	verb	to force, to compel	rishta:مجبور
صادر کردن		verb	to export	rishta:کردن
وارد کردن	وارِد کَردَن	verb	to enter, to cause to be entered	rishta:وارد
علامت تعجب	عَلامَتِ تَعَجُّب	noun	exclamation mark	rishta:علامت
ناتوان	ناتَوان	adj	feeble, powerless	platts
به علاوه		prep	besides, in addition to	rishta:بہ
علاوه	عِلاوه	noun	addition	platts
مختلط		adj	mixed	arbi
نوشیدنی		noun	drink, beverage	platts
معدنی	مَعدَنی	adj	mineral; relating to minerals	platts
میلادی		adj	Gregorian, relating to the Gregorian calendar	platts
درآمد		noun	income	platts
تدریج	تَدریج	noun	being gradual	arbi
دچار		adj	having encountered, encountering (a problem)	platts
سالگی	سالِگی	noun	year of age	platts
آبکند		noun	ravine	platts
غرغاو		noun	buffalo	platts
وکالت	وِکالَت	noun	power of attorney; agency	platts
درز		noun	seam, suture	arbi
دهیار	دِهیار	noun	village head, president of the village council	platts
بخصوص		adv	especially, particularly	arbi
سمی		adj	poisonous; toxic, venomous	platts
افتخار کردن		verb	to be proud of	rishta:افتخار
ملاقات کردن	مُلاقات کَردَن	verb	to meet	rishta:ملاقات
دریافت	دَریافت	noun	receiving	platts
زوبین		noun	javelin	platts
آب و جارو		noun	washing and cleaning, sweeping clean (a building, a house, etc.)	arbi
صمیمی	صَمیمی	adj	intimate, sincere	platts
پالان		noun	packsaddle	platts
زرین		adj	golden	arbi
آهنین		adj	iron, of iron	platts
در حال	دَر حالِ	adv	in the middle of, in the process of, while	rishta:در
تعظیم		noun	bow	arbi
باز شدن	باز شُدَن	verb	to open	rishta:باز
دست دادن	دَست دادَن	verb	to shake hands	rishta:دست
آختن		verb	to draw out, to pull up, to extract	platts
شخصیت		noun	personality, character (of a person)	platts
باریجه		noun	ferula, galbanum	arbi
لوترا	لوتَرا	noun	secret language, code language, argot, language known only to its speakers	platts
چلبی		noun	gentleman	platts
فاخره		noun	Sichuan pepper (any of the spice plants under the Zanthoxylum genus and their produce)	arbi
مسا		noun	evening	platts
شیب		noun	slope, declivity, tilt, descend	platts
خواربار		noun	food; provisions	platts
ترشک		noun	sorrel, dock	arbi
تخصص		noun	specialty, specialization	arbi
قطعه		noun	piece, fragment	platts
مدنیت		noun	civilization	platts
دادار		noun	Distributor of justice	platts
نهال		noun	sapling, shoot	arbi
شنفتن	شِنُفتَن	verb	to hear	arbi
خیزان		adj	rising, leaping, saltatory	platts
حامله		adj	pregnant	arbi
لحد		noun	grave	platts
زیلو		noun	a type of blanket or carpet	platts
تکواژ		noun	morpheme	arbi
انکار کردن	اِنکار کَردَن	verb	to deny	rishta:انکار
خیالی		adj	imaginary	platts
ختو		noun	horn of narwhal, walrus and certain such animals	platts
مصوت		noun	vowel	platts
ارتباط		noun	connection, relation	arbi
تعیین		noun	appointment (to a post, a responsibility)	platts
فریور		adj	righteous	platts
محصور		adj	surrounded, confined	arbi
قاتی		adj	mixed	platts
انتفاع		noun	profit, benefit (gained from use)	platts
ارابه		noun	carriage	arbi
گردون		noun	wheel (Any circular device which rotates on its axis.)	platts
نهور		noun	eye	platts
محاذ		noun	battlefront, warfront	arbi
هیئت		noun	shape, form, (outer) structure	platts
تشکیل دادن	تَشکیل دادَن	verb	to form; to organize; to establish	rishta:تشکیل
عداوت		noun	enmity, animosity, hostility	platts
مستجاب		adj	answered, accepted	arbi
نغم		noun	making a hole, digging out, making hollow; excavation; a mine, a trench	platts
سفتن	سُفتن	verb	to bore, to pierce	platts
هاسیدن		verb	to fear	platts
رنده کردن		verb	to grate	rishta:رندہ
وانمود کردن		verb	to pretend	rishta:کردن
کوشیدن		verb	to try; to strive; to endeavor	platts
از یاد بردن		verb	to forget	rishta:از
خرد کردن		verb	to break into pieces, to chop	rishta:خرد
تهدید کردن		verb	to threaten	rishta:کردن
مشاهده کردن		verb	to observe	rishta:مشاہدہ
تقلید کردن		verb	to imitate	rishta:تقلید
استخراج کردن		verb	to extract	rishta:کردن
رشد کردن		verb	to grow	rishta:کردن
تایید کردن		verb	to confirm	rishta:تایید
ایجاد کردن		verb	to create	rishta:کردن
توصیه کردن		verb	to recommend	rishta:کردن
تشویق کردن	تَشویق کَردَن	verb	to encourage, to incite	rishta:کردن
تقسیم کردن		verb	to divide	rishta:تقسیم
نفرت داشتن		verb	to hate	rishta:نفرت
هلاک کردن		verb	to kill, to eliminate	rishta:ہلاک
هلاک شدن		verb	to get killed, to get eliminated	rishta:ہلاک
حبس کردن		verb	to imprison	rishta:کردن
حمایت کردن	حِمایَت کَردَن	verb	to support	rishta:حمایت
تهمت زدن		verb	to accuse	rishta:تہمت
عبادت کردن		verb	to worship	rishta:عبادت
ستایش کردن		verb	to praise	rishta:کردن
غریدن		verb	to roar	platts
دعوت کردن		verb	to invite	rishta:دعوت
عفو کردن		verb	to forgive, to absolve, to pardon	rishta:عفو
تبرئه کردن		verb	to acquit, to exonerate	rishta:کردن
دیدار کردن		verb	to meet, to visit	rishta:دیدار
چخیدن		verb	to struggle	platts
عبور کردن		verb	to pass, to cross over	rishta:کردن
گذر کردن		verb	to pass, to cross over	rishta:کردن
جبران کردن		verb	to compensate	rishta:جبران
تب کردن		verb	to have a fever	rishta:تب
دواندن		verb	to make someone run, to cause to run	platts
خفه کردن		verb	to suffocate, to choke	rishta:کردن
خراب شدن		verb	to get destroyed	rishta:خراب
مخلوط کردن		verb	to mix, to blend	rishta:مخلوط
بازگو کردن		verb	to retell	rishta:کردن
آشنا کردن		verb	to familiarize, to acquaint	rishta:اشنا
خنیدن		verb	to resonate	platts
رزیدن		verb	to dye, to color	platts
مرحله		noun	stage, phase	arbi
هل دادن		verb	to push	rishta:ہل
منظومه		noun	poem	arbi
مطرح		adj	under discussion; raised (as a subject of discussion)	arbi
سقوط کردن		verb	to fall, to collapse, to descend	rishta:کردن
برآورد		noun	estimation	platts
ازاله		noun	removal	arbi
مشرف		adj	imminent; impending; on the verge of	arbi
فراهم کردن		verb	to supply, to procure	rishta:فراہم
دقت کردن		verb	to pay attention, to be careful	rishta:دقت
علنی		adj	public, open	platts
کنونی	کُنونی	adj	present, current, present-day	platts
گله کردن		verb	to complain	rishta:گلہ
فوران کردن		verb	to erupt	rishta:کردن
آماده کردن		verb	to prepare	rishta:کردن
