# uz-lughat-alt — رومن کی دوسری املا · کنجی = uz-lughat.json کا id
# ہر سطر:  id <tab> املا|املا|املا
1656	aashina|aashna|ashina
1663	aafiat|afet|afut
1665	aaftab|aftaab
1690	aamm|amm
1691	aamd
1701	anna
1726	atta|attaa
1731	aapp|app
1749	agg
1756	aahata|aahista
1762	ayatien
1781	ebtada|ibtada|ibteda
1824	abu
1829	obhar|ubharr
1830	obharina|ubharina
1852	otarana
1881	itafaaqi|itafaqi|ittafaqi
1917	ijazaat|ijazit|ijazt|ijazut
1928	ojagar
1935	ajdaad
1938	ojrat
1948	ejlaas|ijalas|ijlaas
1983	aehbaab
2014	ahmikana|ahmqana
2019	akhbaar|ikhbar
2022	akhbaraat|ikhbarat
2032	ikhtetam|ikhtitaam
2034	ikhtetami
2046	akhtalafat|ikhtalafat|ikhtelafaat|ikhtelafat
2051	ikhteyar|ikhtiaar|ikhtiyaar|ikhtyar
2059	akhraj|ikhraaj
2064	ikhlaas|ikhlass
2066	ekhlaq|ikhlaq
2069	ikhlaaqi|ikhlaqi
2086	idaara
2091	udaasi
2106	addbi
2122	adraak|idraak
2177	adain|adayeeeeiinnnn|adday
2193	iraadon|iradoun
2210	irteqa
2222	araz
2226	arsaal|arsaallll|irsal
2285	assatiza
2293	asabab|asbaab
2295	ostaad|ustaad
2314	isitiri
2321	istaimal|istamaal|istamal|istaymal
2331	istiqamat|istqamat
2335	istaqlaal|istaqlal|isteqlaal|istiqlaal
2365	islaam|islm
2367	islaami
2370	islaamait|islamiat
2460	israar
2477	aslaah|aslah|eslah|islaah
2481	eslahi|islaahi
2488	aosol|asol|asool|ausool
2498	azafa|ezafa|izafaa
2501	izaafi
2534	aitraaf|eteraf
2537	azum
2538	allaaaaa
2540	afraad
2548	afser
2550	afsoos
2573	albata
2576	ilhaaq
2577	alhamdhulilah|alhamdolillah|alhamdulellah|alhamdulilah
2579	alzam|illzam|ilzaam
2581	alfaaz|alfax
2586	aalm|alum
2597	olti
2603	alg
2611	amarat|emarat|imarrat
2613	emaam
2616	amaant|amant|amanut
2621	umat
2622	imtahan|imtehaan|imtehan
2623	amtihanat|imtehanat
2626	amtiyaz|imtaiaz|imteiaz|imtiaz
2627	imadad|imdaad|imdadd
2630	amraaz
2637	ammal
2640	amn
2646	emkan|imakan|imkaan
2652	anperh
2669	intakhab|intekhab|intikab|intikhaab
2670	intakhabaat|intakhabat|intakhabt|intaykahbat
2674	intazam|intezam|intizaam|intzam
2709	ensaan|insaan
2710	ensani|insaani
2711	insaaniyat|insaniyet
2712	insedaad|insidaad
2718	enaam|enam
2721	enqlaab|inqalab|inqelab|inqilaab
2726	anoukha|anukha
2746	inkashaaf
2747	inkashaafat|inkashafat
2753	angaiz|angreez
2754	angraizi|angreazi
2761	anghuta|angotha
2788	auqaat|okat|oqaat|oqat
2791	olia|olwya
2792	aulaad|olaad|olad|oulad
2923	akel|aqal|aqel
2930	akser|aksr|aqsar|axr
2964	ahem|ahm
2965	aehmiyat|ahamiyat|ahmeyat|ahmyat
3034	baadshah
3040	br
3042	baharat|bahrat
3068	baiys|baiz
3070	baghii|bhaghi|bhagi
3073	baaki|baki|bakii|bakki
3084	bilkl|bilkull|blkl
3087	bandna|bhandhna
3098	baahon|bahon|bahoon
3116	baaham|baahum|bahum
3132	bajaye|bajhaye
3139	bahaal
3140	bahes|bahus|behes
3141	baahir|baher|bhr
3154	bakhash|bakhsh|baksh
3155	bakshish|bkhshish
3169	badtamezz|batameez|bdtmez
3170	badduaa|badua
3179	badlaa|badlla|budlaa
3180	badmash|bdmash
3182	baden|badn
3183	badnaam
3184	badnaami
3185	badnaseb|badnasib
3189	badault|badolat
3213	barbaad|brbad
3214	barbaadi
3223	bardaasht|bardash|bardhast
3225	barus|buras
3226	barsaat|brsaat
3262	barket|barqat|brkat|burkat
3278	basita|busta
3304	bakaya|bakayaa
3348	bannnd|bnd
3351	bnder|bunder
3354	badobast|bndobast|bndobst
3357	bndhan|bundhan
3358	bandaa|bnda|bunda|bundaa
3359	bandii|bndi
3373	bngla|bungla
3422	baaten|batain|batay|batyn
3452	bakraa|baqra|bkra
3461	bahi
3494	bhagg|bhagh
3568	bhaduri
3586	bahain|bahein|bahen|behn
3593	bahanoon|bahanoun
3621	beyrozgari|byrozgari
3742	tajj
3751	tarek|tarekh|tarikh
3770	taanga
3775	taahum|tahum
3779	tabbah
3781	tabdel|tabdil
3786	tabraiz
3787	tabasum
3793	tejarat
3798	tajarba|tajariba
3803	tahereer|tahrer|tahrir|tehreer
3804	tahareek|taharek|tahrek|tahryk
3805	tahsel|tehseel|tehsil
3806	tahafuz|tahfuz|tehafuz|tuhafoz
3809	takhit
3811	takhliq
3820	taraana
3825	tarteb|tartib
3826	tarjumaan|terjuman
3830	tarjeh|tarjih
3847	tasbeh
3849	taslem|taslim
3852	tashadud|tashadudd|tashadut|tashdud
3853	tashreh
3854	tashref|tashrif
3860	tashkil
3861	tasaaver|tasaver|tasavir|tasaweer
3862	tasdeek|tasdek|tasdeq
3865	tasweer
3867	tasweeron
3870	taber|tabir
3877	taadaad|tadaad|taddad
3879	taref|tarif|tariff
3880	tazeat|taziat
3886	taaleem|talem|talim|temeem
3894	tafser
3895	tafsel|tafsil
3902	takreer|taqrer|taqrir|tqreer
3903	takrem|takseem|taksim|taqsim
3926	tmasha
3931	tamaam|tmam
3936	tamgha|tamghaa
3938	tamana|tammana
3946	tamez|tamiz|tmeez
3947	tann|ton|tun
3956	tandrust|tundrust
3957	tandrusti|tundrusti
3958	tandor
3960	tanzem
3962	tanked|tankeed|tanqed|tanqid
3963	tanor
3966	tanna
3993	toorna|tourna
4000	takber
4001	takraar
4002	taklef|taklif|taqleef|taqlif
4003	takmel|takmil
4015	thorha|thra
4016	thuk
4020	thuka
4022	tay|teyh
4026	tahajod|tahajud|tahijud
4028	tahzeb
4030	tuhimat
4038	tayaar|tayar|tayyar|tyaar
4039	tayaari|tayari
4053	taiz|taizz|teez
4066	saabit
4069	sabot|sabut|suboot
4072	saqafti
4080	jaez|jayaz|jayez|jayz
4081	jaiyza|jayza
4091	jarri
4092	jasos|jassos|jasus|jsos
4093	jall|jul
4095	jalandar|jalindar
4097	jamiya
4100	jamma
4103	jaanib|jnib
4107	janwar|janwer|janwr
4116	jagga
4117	jaahel|jaahil|jaahl
4130	jaded|jadid|jideed
4132	jurat|jurraat
4133	jarasem|jarasim
4139	jurim|jurram
4141	jurmaana
4148	juzwi
4155	jsm
4168	jaled|jalid|jld|juld
4169	jldhi|jldi
4172	jalsoun
4173	jalsaa
4176	jalina
4177	jaloos|jalos|jalus|julos
4182	jamat
4193	jumma
4195	jumlaa
4200	jamhori
4205	janaab|jannab|jnab|jnb
4207	jinnah
4210	janaaza|jenaza
4212	jaanita|jaanta|janita|jnta
4216	janati
4220	janm|janum
4221	junob|junoob|junub
4230	jangel
4233	jungi
4240	jawan
4241	jawano
4244	jotta|juta
4251	joosh|joush
4258	jour
4259	joura
4264	jaouher|johar|jouhar
4277	jiger|jiggar|jigger
